"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"LASP1",0.00270726603233585,0.788802217050755,0.62,0.31,1,0.135776535584065
"NT5DC3",0.00275644857228294,0.866671377916578,0.478,0.172,1,0.135776535584065
"XRCC5",0.00275823202457843,0.391753635080385,0.946,0.69,1,0.135776535584065
"ZFP64",0.00279792744289079,1.02741922997092,0.293,0.069,1,0.135776535584065
"TUBA1B",0.00280131372705063,0.244914159739865,0.978,0.897,1,0.135776535584065
"RP3-416H24.1",0.00282734967672477,-0.811350887878032,0.152,0.379,1,0.135776535584065
"ASB8",0.00282738495084734,1.12376282975465,0.217,0.069,1,0.135776535584065
"UQCRC1",0.00283341729744995,0.294513379242128,0.967,0.862,1,0.135776535584065
"COG2",0.00283580538646094,1.10458392449994,0.337,0.069,1,0.135776535584065
"EDN1",0.00284941110910331,1.19495110865677,0.348,0.069,1,0.135776535584065
"EIF5A",0.0028631032325836,0.455898981705007,0.924,0.655,1,0.135776535584065
"RP11-3P17.3",0.00292940191541958,-0.134373044854907,0.989,1,1,0.138131286909472
"CA8",0.00295010236353761,0.958517395973894,0.5,0.172,1,0.138321466186433
"FOSL1",0.00297200516265933,1.14155659435231,0.38,0.103,1,0.138565566544437
"AIMP2",0.00304371448227282,1.11261094517296,0.337,0.069,1,0.14111612563342
"TBC1D24",0.00308813942127621,0.577689349774411,0.239,0.034,1,0.142053602794099
"OBP2B",0.00315884038724113,0.663412579726299,0.739,0.448,1,0.142053602794099
"ZNF502",0.00316452237337676,0.697223917133592,0.163,0,1,0.142053602794099
"VASN",0.003164522635011,0.864575537511938,0.163,0,1,0.142053602794099
"ZNF280C",0.00321597539331898,0.760583123692383,0.163,0,1,0.142053602794099
"AP000347.4",0.00321686967970616,0.730620873394751,0.163,0,1,0.142053602794099
"SNORD65",0.00321686978593394,1.20266232659393,0.163,0,1,0.142053602794099
"IQCG",0.00321687020682404,0.754405563666358,0.163,0,1,0.142053602794099
"TC2N",0.00321798738706961,-0.756059302959954,0.174,0.379,1,0.142053602794099
"PIEZO1",0.00326746731991457,0.86042576661429,0.489,0.241,1,0.142061626360843
"TTC27",0.00327682602852271,1.03498059397517,0.38,0.103,1,0.142061626360843
