"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"RPS29";1,79281958582855e-22;-0,478229826818301;0,935;0,979;7,21376816749835e-18
"TNF";1,8001839410914e-22;1,24975510188779;0,252;0,032;7,24340012376947e-18
"MELTF";1,80930630097395e-22;0,982704875101486;0,35;0,069;7,2801057632289e-18
"FLNB";1,83119544073249e-22;0,528985414908905;0,967;0,795;7,36818109487531e-18
"SESTD1";2,20282240754875e-22;0,940298004271575;0,577;0,187;8,86349652125393e-18
"EPS8L2";2,21709526752712e-22;1,04624931551186;0,699;0,353;8,92092622794889e-18
"GMPPB";2,31091192443584e-22;1,04977172430077;0,504;0,148;9,29841631035249e-18
"AC011330.5";2,56195122299918e-22;0,764797961214741;0,382;0,083;1,03085231359818e-17
"RP1-12G14.3";2,58984212481998e-22;-0,431432533437785;0,805;0,953;1,04207477576381e-17
"RP11-478C6.4";2,59319300598998e-22;-0,6697357321892;0,585;0,853;1,04342306982019e-17
"CSRP2";2,97086731397173e-22;0,7651043973795;0,87;0,53;1,19538788112281e-17
"SREBF2";3,03088043776165e-22;0,992612130874196;0,74;0,339;1,21953536174215e-17
"TM4SF1";3,27161250573984e-22;0,29691111646564;0,992;0,945;1,31639872393454e-17
"C15orf52";3,47533918415418e-22;1,23898582086687;0,512;0,173;1,39837222752812e-17
"CDC42EP5";3,50953705983904e-22;0,560956856359733;0,122;0,002;1,41213242676744e-17
"CCDC189";3,88459047067186e-22;1,16113250045895;0,366;0,083;1,56304266768424e-17
"EMP2";4,65383513495437e-22;0,901592297454313;0,846;0,421;1,87256364325159e-17
"MAPK12";5,9714179065215e-22;0,948806345508822;0,179;0,013;2,40271942304706e-17
"PMP22";6,95126306479623e-22;1,09812945352121;0,642;0,26;2,79697971938206e-17
"CHCHD10";7,33118084943871e-22;0,933270900582487;0,35;0,07;2,94984723838865e-17
"COTL1";7,58684789026729e-22;1,17000606430945;0,407;0,097;3,05271998560685e-17
"EPAS1";8,0093081640283e-22;0,972486172687827;0,463;0,121;3,22270532596007e-17
"RP11-204J18.3";8,0923636631137e-22;1,0889930820187;0,366;0,081;3,25612436712706e-17
"CAPG";8,48354229046653e-22;0,935214902911131;0,805;0,396;3,41352291141502e-17
"UBXN11";9,21296324930497e-22;1,12856981288412;0,602;0,228;3,70702002262284e-17
"AP1S1";9,33415095124852e-22;1,09268206181289;0,577;0,213;3,75578231825386e-17
"FHOD3";1,04067059925394e-21;0,953662392419846;0,691;0,276;4,18734629021809e-17
"NAPB";1,05552298311094e-21;1,07321775005383;0,39;0,088;4,24710782714349e-17
"HLTF";1,19274951980234e-21;0,978510726407769;0,732;0,331;4,79926624282866e-17
"CBX3";1,41716203177634e-21;0,74628460484681;0,878;0,666;5,70223486725845e-17
"TAF7L";1,47229668966791e-21;0,96548554159606;0,187;0,016;5,92408019021677e-17
"PCBP4";1,53281623554638e-21;1,11818298184356;0,618;0,253;6,16759268696798e-17
"CTD-2568A17.3";1,88583581933788e-21;0,806867478024719;0,797;0,459;7,58803758626982e-17
"TBCB";1,89389338350019e-21;0,769815446014367;0,829;0,492;7,62045880718972e-17
"IFITM1";1,89918862568505e-21;1,19093726686792;0,715;0,356;7,64176527316893e-17
"CD24";1,96331541770692e-21;0,412697805493264;0,984;0,84;7,89979224622734e-17
"CDK1";2,12936292858734e-21;0,867582703418415;0,187;0,016;8,56791761575688e-17
"KRAS";2,3562043468536e-21;0,560273193321928;0,553;0,153;9,48065943043485e-17
"SLC39A14";2,78455357201806e-21;1,20731965604462;0,512;0,17;1,12042082077291e-16
"FTHL10";2,9348481767235e-21;0,471377791496749;0,967;0,843;1,18089486086823e-16
"DSG2";3,40865425053445e-21;0,822953792151077;0,821;0,501;1,37154021078755e-16
"GAPDHS";3,48341278694875e-21;0,879960538051149;0,268;0,04;1,40162080308457e-16
"RAD18";3,5767212850682e-21;1,05670009156332;0,504;0,152;1,43916534347289e-16
"PLXNB2";3,6361450689246e-21;0,675951774225742;0,919;0,623;1,46307569138319e-16
"RPS2P46";3,7456304103724e-21;0,456927645979773;0,976;0,805;1,50712930822154e-16
"HACD1";4,28083403085305e-21;1,11480376207859;0,415;0,105;1,72247918899434e-16
"FHL2";5,35862897661148e-21;0,799860292246243;0,846;0,509;2,15615154131916e-16
"NSD2";6,28172213053284e-21;1,05749260682386;0,472;0,148;2,5275765336625e-16
"RBM42";6,4147206386731e-21;0,893504471564551;0,756;0,402;2,5810911433829e-16
"RP11-108P2.1";6,56984048470255e-21;0,802991898978679;0,333;0,067;2,64350671582977e-16
"CENPO";6,92546458414082e-21;0,97068141940978;0,317;0,062;2,78659918472074e-16
"TRIP6";7,27555243714003e-21;0,888113665088859;0,813;0,437;2,92746403413203e-16
"LDHD";7,80555015667021e-21;0,994373639049233;0,146;0,008;3,14071921653939e-16
"PLEKHS1";7,88578392962361e-21;1,02977522686266;0,374;0,082;3,17300287976265e-16
"RFC3";8,7330624155571e-21;1,1487874494247;0,447;0,123;3,51392232414771e-16
"EGR1";9,59300319488474e-21;-0,531328573229685;0,789;0,957;3,85993669552577e-16
